business_id,business_type,location_type,years_in_business,num_employees,owner_gender,owner_age,education_level,monthly_revenue,monthly_expenses,cash_flow_volatility,mobile_money_frequency,mobile_money_volume,mobile_money_consistency,has_bank_account,bank_account_age,savings_balance,num_suppliers,num_customers,digital_payment_adoption,social_media_presence,mobile_money_score,business_score,banking_score,digital_score,demo_score,credit_score,traditional_score,traditional_approval,ai_approval,actually_creditworthy
SME_00030,services,urban,0.5,6,male,26.4,2,25170,19123.0,0.28,25.0,5217.0,0.73,1,8.2,1112.0,10,25,0.43,1,0.38,0.24,0.67,0.66,0.29,0.43,0.43,0,0,0
SME_00031,retail,urban,1.2,7,male,26.5,2,11323,8971.0,0.34,37.0,1136.0,0.88,1,2.2,672.0,5,22,0.67,0,0.44,0.2,0.55,0.4,0.29,0.35,0.35,0,0,0
SME_00032,retail,urban,8.4,10,male,42.1,1,8192,6947.0,0.21,20.0,2796.0,0.81,1,4.0,4945.0,3,20,0.44,1,0.43,0.28,0.61,0.66,0.31,0.42,0.42,0,0,0
SME_00033,tech,urban,1.3,7,female,37.4,2,64244,50604.0,0.36,19.0,23565.0,0.39,1,1.4,4910.0,3,37,0.48,1,0.3,0.34,0.56,0.69,0.39,0.42,0.34,0,0,0
SME_00034,food,urban,13.3,8,male,38.4,1,16176,12192.0,0.1,2.0,6322.0,0.79,1,5.5,2065.0,2,19,0.39,0,0.36,0.39,0.62,0.23,0.28,0.4,0.4,0,0,0
SME_00035,manufacturing,rural,2.0,8,male,28.9,3,39721,28961.0,0.57,13.0,12543.0,0.95,1,3.6,2244.0,6,25,0.09,1,0.43,0.29,0.59,0.45,0.41,0.42,0.37,0,0,0
SME_00036,agriculture,urban,0.6,7,male,35.2,1,22959,21121.0,0.1,20.0,6076.0,0.87,1,9.6,3573.0,3,20,0.29,1,0.42,0.2,0.71,0.57,0.25,0.42,0.42,0,0,0
SME_00037,retail,rural,6.7,8,male,26.9,1,9737,7888.0,0.15,15.0,1760.0,0.56,1,2.0,2136.0,2,24,0.54,0,0.28,0.27,0.55,0.32,0.19,0.31,0.26,0,0,0
SME_00038,services,urban,1.9,8,male,48.7,2,12420,10635.0,0.1,58.0,4965.0,0.33,1,3.0,1619.0,1,32,0.66,0,0.45,0.21,0.57,0.4,0.47,0.37,0.37,0,0,0
SME_00039,agriculture,urban,3.7,9,male,50.4,2,41542,34173.0,0.24,59.0,11504.0,0.98,1,1.6,15832.0,4,24,0.65,0,0.61,0.31,0.63,0.39,0.47,0.51,0.51,0,0,0
SME_00040,retail,urban,12.4,6,female,18.0,3,5931,5445.0,0.33,43.0,1805.0,0.73,0,0.0,0.0,6,23,0.23,0,0.48,0.29,0.0,0.14,0.32,0.3,0.22,0,0,0
SME_00041,agriculture,rural,0.2,8,male,26.8,2,17542,14678.0,0.85,12.0,5345.0,0.17,1,0.9,2695.0,5,26,0.42,0,0.19,0.17,0.53,0.25,0.29,0.26,0.21,0,0,0
SME_00042,retail,urban,0.3,11,male,20.0,2,12358,10136.0,0.4,32.0,4369.0,0.89,0,0.0,0.0,5,32,0.02,1,0.5,0.19,0.0,0.41,0.25,0.32,0.32,0,0,0
SME_00043,tech,rural,3.8,12,male,30.2,3,25008,23286.0,0.23,13.0,2573.0,0.68,1,0.1,3487.0,5,26,0.53,0,0.29,0.24,0.52,0.32,0.42,0.32,0.27,0,0,0
SME_00044,retail,rural,1.0,7,female,37.0,2,7611,6697.0,0.81,7.0,1264.0,0.58,1,1.8,6384.0,1,29,0.72,0,0.25,0.14,0.57,0.43,0.38,0.31,0.18,0,0,0
SME_00045,services,rural,0.6,9,female,20.6,1,14534,10579.0,0.2,10.0,4355.0,0.8,1,0.9,1230.0,4,20,0.48,0,0.37,0.23,0.53,0.29,0.14,0.34,0.21,0,0,0
SME_00046,agriculture,urban,0.1,6,male,26.9,2,26298,19577.0,0.25,2.0,9692.0,0.54,1,1.0,952.0,3,20,0.96,1,0.28,0.24,0.53,0.98,0.29,0.4,0.4,0,0,0
SME_00047,agriculture,urban,0.1,9,female,26.0,4,11727,10517.0,0.27,10.0,3584.0,0.96,0,0.0,0.0,6,20,0.74,1,0.42,0.17,0.0,0.84,0.48,0.32,0.24,0,0,0
SME_00048,agriculture,rural,4.5,5,male,40.5,2,10806,9822.0,0.16,15.0,2421.0,0.4,1,3.8,1503.0,2,30,0.06,1,0.25,0.21,0.59,0.44,0.4,0.31,0.26,0,0,0
SME_00049,retail,urban,0.4,13,male,38.8,1,4085,3416.0,0.55,78.0,852.0,0.88,1,1.8,3710.0,4,28,0.95,1,0.64,0.16,0.56,0.97,0.29,0.51,0.51,0,0,0
SME_00050,food,rural,1.9,12,male,29.3,1,20015,16785.0,0.1,9.0,6433.0,0.96,1,0.6,480.0,5,25,0.3,1,0.42,0.24,0.51,0.58,0.21,0.38,0.33,0,0,0
SME_00051,manufacturing,urban,2.8,8,male,40.1,1,21179,18171.0,0.24,58.0,6828.0,0.96,1,1.3,4230.0,7,22,0.53,0,0.62,0.23,0.55,0.32,0.29,0.44,0.44,0,0,0
SME_00052,tech,rural,1.7,8,male,31.4,2,45587,36915.0,0.38,6.0,12861.0,0.99,1,1.0,2389.0,3,28,0.11,0,0.41,0.29,0.53,0.07,0.33,0.37,0.32,0,0,0
SME_00053,manufacturing,rural,0.1,5,female,34.7,2,24006,20886.0,0.7,5.0,4500.0,0.87,1,0.9,938.0,6,21,0.39,0,0.34,0.18,0.52,0.23,0.35,0.32,0.19,0,0,0
SME_00054,services,rural,4.6,9,female,58.1,1,14423,10487.0,0.65,18.0,5445.0,0.78,1,0.2,2047.0,3,27,0.32,0,0.42,0.26,0.52,0.19,0.44,0.37,0.24,0,0,0
SME_00055,tech,urban,0.1,3,female,54.1,4,71893,67602.0,0.21,28.0,19092.0,0.82,1,1.6,3582.0,4,30,0.59,0,0.44,0.29,0.55,0.35,0.71,0.41,0.33,0,0,0
SME_00056,retail,rural,4.3,8,male,22.4,3,15610,13854.0,0.31,1.0,5263.0,0.61,1,0.7,36.0,5,32,0.27,1,0.29,0.23,0.51,0.56,0.37,0.36,0.31,0,0,0
SME_00057,retail,urban,6.7,10,male,48.0,2,11500,9865.0,0.15,6.0,1889.0,0.1,0,0.0,0.0,4,22,0.36,0,0.1,0.27,0.0,0.22,0.45,0.17,0.17,0,0,0
SME_00058,retail,urban,1.7,8,female,47.7,3,13515,10529.0,0.19,15.0,2746.0,0.48,1,0.8,2340.0,3,27,0.21,1,0.26,0.23,0.53,0.53,0.56,0.37,0.29,0,0,0
SME_00059,agriculture,rural,2.3,13,male,24.2,1,13687,10132.0,0.71,10.0,4960.0,0.99,1,1.1,746.0,3,20,0.44,1,0.45,0.23,0.53,0.66,0.17,0.39,0.34,0,0,0
SME_00060,agriculture,rural,1.9,3,male,47.8,2,18027,14464.0,0.8,31.0,2074.0,0.5,1,0.1,4195.0,5,18,0.16,1,0.31,0.19,0.53,0.5,0.45,0.36,0.31,0,0,0
SME_00061,retail,rural,1.5,9,male,56.5,2,6647,5752.0,0.68,18.0,1686.0,0.86,1,9.8,1085.0,7,28,0.17,0,0.41,0.16,0.7,0.1,0.52,0.35,0.3,0,0,0
SME_00062,manufacturing,rural,6.6,4,female,24.5,3,38437,32995.0,0.1,4.0,9398.0,0.69,1,1.4,972.0,3,27,0.89,1,0.3,0.32,0.53,0.93,0.38,0.4,0.27,0,0,0
SME_00063,agriculture,urban,6.7,12,male,27.0,3,24324,19354.0,0.57,56.0,7914.0,0.77,1,0.0,1912.0,6,40,0.55,1,0.55,0.3,0.51,0.73,0.41,0.47,0.47,0,0,0
SME_00064,retail,urban,1.2,8,male,50.2,1,16035,13683.0,0.89,9.0,2960.0,0.1,0,0.0,0.0,3,17,0.44,1,0.12,0.17,0.0,0.66,0.36,0.19,0.19,0,0,0
SME_00065,agriculture,rural,2.9,6,female,41.3,4,9215,8325.0,0.13,33.0,1527.0,0.89,1,4.1,7929.0,7,34,0.11,1,0.45,0.19,0.63,0.47,0.61,0.39,0.26,0,0,0
SME_00066,retail,urban,7.8,8,male,44.6,1,9722,6869.0,0.22,38.0,3673.0,0.37,0,0.0,0.0,3,34,0.23,1,0.38,0.31,0.0,0.54,0.34,0.31,0.31,0,0,0
SME_00067,manufacturing,urban,9.8,8,male,42.1,3,35767,29066.0,0.45,83.0,9711.0,0.09,0,0.0,0.0,5,17,0.54,0,0.44,0.36,0.0,0.32,0.5,0.36,0.36,0,0,0
SME_00068,retail,urban,2.1,7,male,42.7,4,6010,5347.0,0.25,17.0,790.0,0.28,1,0.3,208.0,13,22,0.2,0,0.19,0.18,0.51,0.12,0.61,0.24,0.24,0,0,0
SME_00069,food,urban,1.8,9,male,22.1,1,24604,20582.0,1.51,24.0,3885.0,0.34,1,2.1,4263.0,3,26,0.21,0,0.25,0.18,0.57,0.13,0.16,0.3,0.3,0,0,0
SME_00070,manufacturing,urban,1.0,9,female,50.6,3,32340,27905.0,0.18,10.0,12925.0,0.37,1,2.9,1781.0,8,25,0.43,1,0.27,0.24,0.57,0.66,0.58,0.35,0.27,0,0,0
SME_00071,retail,urban,9.6,6,male,52.0,1,11650,9660.0,0.38,28.0,1849.0,0.94,1,1.7,3682.0,5,30,0.37,0,0.44,0.29,0.56,0.22,0.39,0.4,0.4,0,0,0
SME_00072,retail,urban,0.5,5,male,35.2,2,8256,7826.0,0.47,16.0,2338.0,0.67,1,4.5,1167.0,3,22,0.3,0,0.35,0.13,0.6,0.18,0.35,0.33,0.33,0,0,0
SME_00073,manufacturing,urban,2.6,7,female,37.5,2,19115,13642.0,0.2,14.0,4321.0,0.07,1,0.6,5580.0,7,33,0.94,1,0.14,0.27,0.55,0.96,0.38,0.37,0.29,0,0,0
SME_00074,services,rural,1.0,8,female,19.6,2,11780,9692.0,0.58,48.0,4308.0,0.78,0,0.0,0.0,4,18,0.26,0,0.54,0.18,0.0,0.16,0.23,0.28,0.15,0,0,0
SME_00075,services,urban,1.0,8,female,44.2,4,21286,15387.0,0.24,1.0,6951.0,0.95,1,4.1,8626.0,5,25,0.49,1,0.39,0.25,0.63,0.69,0.63,0.44,0.36,0,0,0
SME_00076,manufacturing,urban,1.6,7,male,44.9,3,42547,31482.0,0.16,53.0,11874.0,0.54,1,2.0,246.0,7,27,0.8,1,0.46,0.31,0.54,0.88,0.53,0.45,0.45,0,0,0
SME_00077,retail,rural,20.0,8,male,37.3,2,8534,6791.0,0.1,48.0,881.0,0.8,1,0.0,2166.0,6,22,0.38,0,0.46,0.44,0.51,0.23,0.37,0.43,0.38,0,0,0
SME_00078,agriculture,urban,0.2,5,female,51.5,3,17920,13241.0,0.15,18.0,6522.0,0.08,0,0.0,0.0,4,25,0.12,0,0.21,0.23,0.0,0.07,0.58,0.22,0.14,0,0,0
SME_00079,retail,rural,2.6,12,female,34.0,4,6991,6578.0,0.4,17.0,1632.0,0.92,1,3.9,2750.0,3,26,0.42,1,0.41,0.17,0.59,0.65,0.55,0.39,0.26,0,0,0
SME_00080,manufacturing,rural,0.3,7,male,44.8,1,30489,28559.0,0.76,11.0,11570.0,0.47,1,0.1,70.0,6,26,0.09,1,0.3,0.17,0.5,0.45,0.33,0.31,0.26,0,0,0
SME_00081,services,urban,0.5,10,male,25.8,4,35288,27667.0,0.1,100.0,8775.0,0.23,1,0.0,10763.0,4,19,0.0,1,0.54,0.27,0.56,0.4,0.48,0.42,0.42,0,0,0
SME_00082,agriculture,urban,1.7,5,male,37.7,1,20680,17783.0,0.13,3.0,6375.0,0.53,1,0.7,1063.0,2,33,0.56,0,0.26,0.22,0.52,0.34,0.28,0.29,0.29,0,0,0
SME_00083,retail,rural,2.1,8,female,35.9,3,11059,9217.0,0.1,22.0,1336.0,0.56,1,4.9,860.0,2,20,0.24,0,0.29,0.21,0.6,0.14,0.46,0.3,0.17,0,0,0
SME_00084,agriculture,rural,0.9,6,male,40.7,1,13497,12200.0,0.35,29.0,4367.0,0.95,0,0.0,0.0,5,35,0.79,0,0.5,0.17,0.0,0.47,0.31,0.33,0.28,0,0,0
SME_00085,agriculture,urban,1.1,6,male,33.6,1,8550,7326.0,0.97,68.0,1722.0,0.24,1,1.5,2344.0,1,24,0.9,1,0.4,0.14,0.54,0.94,0.24,0.37,0.37,0,0,0
SME_00086,services,rural,0.3,11,male,36.4,2,9876,6914.0,0.31,38.0,2029.0,0.96,1,1.6,4361.0,5,31,0.85,0,0.5,0.22,0.56,0.51,0.37,0.43,0.38,0,0,0
SME_00087,services,urban,1.1,10,female,47.9,2,23391,20837.0,0.29,26.0,3172.0,0.72,0,0.0,0.0,4,20,0.48,0,0.36,0.21,0.0,0.29,0.45,0.28,0.2,0,0,0
SME_00088,manufacturing,rural,10.2,9,female,32.8,2,24890,22070.0,0.24,3.0,3586.0,0.23,1,0.6,1739.0,1,23,0.69,1,0.12,0.33,0.52,0.81,0.34,0.35,0.22,0,0,0
SME_00089,agriculture,urban,8.7,9,male,18.7,1,18600,15390.0,0.1,12.0,2897.0,0.87,1,3.4,2297.0,4,37,0.11,1,0.36,0.32,0.58,0.47,0.14,0.4,0.4,0,0,0
SME_00090,retail,rural,1.2,9,female,59.0,2,15642,14480.0,0.39,4.0,3104.0,0.13,1,0.2,1505.0,1,23,0.1,0,0.11,0.17,0.51,0.06,0.54,0.23,0.1,0,0,0
SME_00091,services,rural,2.5,5,female,54.6,4,20054,18592.0,0.28,53.0,7372.0,0.77,0,0.0,0.0,2,28,0.45,1,0.55,0.2,0.0,0.67,0.71,0.38,0.25,0,0,0
SME_00092,manufacturing,rural,7.2,11,male,22.5,2,41364,34373.0,0.32,35.0,8706.0,0.97,0,0.0,0.0,4,26,0.31,1,0.49,0.35,0.0,0.59,0.26,0.37,0.32,0,0,0
SME_00093,services,urban,0.1,7,male,46.3,1,20252,17255.0,0.69,35.0,6426.0,0.57,0,0.0,0.0,3,36,0.46,1,0.41,0.18,0.0,0.68,0.35,0.33,0.33,0,0,0
SME_00094,manufacturing,urban,5.0,6,male,32.0,2,23531,22334.0,0.46,26.0,2937.0,0.36,1,1.5,1.0,5,17,0.42,1,0.25,0.23,0.53,0.65,0.32,0.37,0.37,0,0,0
SME_00095,agriculture,urban,8.9,5,female,41.2,1,15243,11809.0,0.46,18.0,4227.0,0.52,1,1.7,6936.0,2,29,0.82,1,0.31,0.3,0.58,0.89,0.31,0.42,0.34,0,0,0
SME_00096,agriculture,urban,0.3,10,male,41.5,3,11306,8832.0,0.79,4.0,2765.0,0.19,0,0.0,0.0,3,31,0.44,1,0.15,0.18,0.0,0.66,0.51,0.21,0.21,0,0,0
SME_00097,agriculture,urban,0.5,8,male,35.2,3,29095,21696.0,1.38,10.0,11446.0,0.88,1,0.5,841.0,3,29,0.07,1,0.42,0.2,0.52,0.44,0.46,0.37,0.37,0,0,0
SME_00098,retail,rural,9.7,10,female,28.6,2,10974,10140.0,0.26,4.0,3883.0,0.58,0,0.0,0.0,4,26,0.58,1,0.3,0.28,0.0,0.75,0.31,0.3,0.17,0,0,0
SME_00099,retail,urban,2.3,9,male,29.7,2,12807,11349.0,0.1,32.0,3028.0,0.93,0,0.0,0.0,2,18,0.21,1,0.48,0.21,0.0,0.53,0.31,0.34,0.34,0,0,0
SME_00100,retail,urban,0.1,10,female,27.0,3,17050,12385.0,0.18,4.0,5670.0,0.32,1,8.2,4872.0,3,23,0.68,1,0.21,0.24,0.69,0.81,0.39,0.38,0.3,0,0,0
SME_00101,services,rural,0.9,9,male,28.0,2,6686,6321.0,0.46,30.0,1056.0,0.53,0,0.0,0.0,2,26,0.53,1,0.33,0.14,0.0,0.72,0.3,0.27,0.22,0,0,0
SME_00102,agriculture,rural,1.8,9,male,37.2,3,15182,13402.0,0.1,29.0,4079.0,0.93,0,0.0,0.0,4,18,0.65,0,0.48,0.21,0.0,0.39,0.47,0.33,0.28,0,0,0
SME_00103,agriculture,rural,3.5,11,female,29.4,2,7103,6482.0,0.1,15.0,869.0,0.19,1,2.5,790.0,2,30,0.62,0,0.15,0.2,0.55,0.37,0.32,0.25,0.12,0,0,0
SME_00104,tech,rural,4.0,10,female,46.2,3,39884,28399.0,0.1,4.0,8153.0,0.48,1,3.5,1994.0,4,24,0.69,1,0.22,0.35,0.58,0.81,0.54,0.42,0.29,0,0,0
SME_00105,retail,urban,16.2,7,male,55.8,2,9180,7585.0,0.39,9.0,1540.0,0.96,1,0.2,11373.0,9,31,0.68,1,0.37,0.37,0.57,0.81,0.52,0.44,0.44,0,0,0
SME_00106,agriculture,urban,1.0,9,female,31.0,2,20327,17779.0,0.21,10.0,6417.0,0.83,1,0.7,5254.0,9,24,0.67,1,0.38,0.21,0.55,0.8,0.32,0.41,0.33,0,0,0
SME_00107,manufacturing,rural,2.3,9,female,40.9,4,27389,22890.0,0.14,30.0,6766.0,0.92,1,0.1,3913.0,1,25,0.19,1,0.47,0.26,0.53,0.51,0.6,0.41,0.28,0,0,0
SME_00108,retail,rural,2.3,2,male,44.0,2,13701,11874.0,0.1,3.0,4457.0,0.6,1,0.9,628.0,1,24,0.17,0,0.29,0.2,0.52,0.1,0.42,0.28,0.23,0,0,0
SME_00109,retail,urban,1.6,11,female,43.7,2,8174,7393.0,0.4,44.0,2081.0,0.87,1,8.0,4401.0,1,17,0.51,1,0.51,0.17,0.69,0.71,0.41,0.43,0.35,0,0,0
SME_00110,retail,rural,0.6,9,male,38.9,1,10623,8430.0,0.12,36.0,1338.0,0.38,1,0.2,1281.0,5,26,0.51,1,0.3,0.21,0.51,0.71,0.29,0.38,0.33,0,0,0
SME_00111,retail,urban,11.4,5,male,46.9,2,11097,10122.0,0.1,5.0,3558.0,0.19,1,1.7,2268.0,6,19,0.65,0,0.17,0.3,0.55,0.39,0.44,0.32,0.32,0,0,0
SME_00112,tech,urban,5.8,2,male,43.8,2,27034,20025.0,0.32,32.0,9461.0,0.8,1,0.0,2818.0,5,17,0.16,0,0.47,0.31,0.52,0.1,0.42,0.38,0.38,0,0,0
SME_00113,manufacturing,urban,2.1,6,female,23.1,1,22506,17278.0,0.25,28.0,8351.0,0.73,1,2.5,2820.0,2,31,0.7,0,0.44,0.25,0.57,0.42,0.17,0.4,0.32,0,0,0
SME_00114,services,urban,2.8,6,female,48.4,1,18365,13055.0,0.14,34.0,4988.0,0.69,1,0.4,3890.0,5,27,0.61,0,0.42,0.27,0.53,0.37,0.36,0.39,0.31,0,0,0
SME_00115,manufacturing,urban,0.8,6,male,48.6,2,50711,40118.0,0.31,5.0,16536.0,0.7,1,0.3,3251.0,4,30,0.28,0,0.33,0.3,0.53,0.17,0.47,0.36,0.36,0,0,0
SME_00116,manufacturing,urban,2.4,8,male,28.8,3,39123,31102.0,0.1,4.0,12739.0,0.27,1,0.8,212.0,5,23,0.21,1,0.19,0.3,0.52,0.53,0.41,0.33,0.33,0,0,0
SME_00117,retail,rural,3.6,7,male,38.5,2,5015,4520.0,0.48,7.0,736.0,0.75,0,0.0,0.0,2,26,0.8,1,0.3,0.18,0.0,0.88,0.38,0.27,0.22,0,0,0
SME_00118,manufacturing,urban,2.2,7,male,46.2,1,30726,26525.0,0.1,11.0,4586.0,0.67,1,0.2,3272.0,2,23,0.21,1,0.29,0.25,0.52,0.53,0.34,0.34,0.34,0,0,0
SME_00119,agriculture,urban,13.9,6,female,35.5,3,34966,28294.0,0.1,39.0,4240.0,0.79,1,0.5,1053.0,1,26,0.63,1,0.43,0.43,0.52,0.78,0.46,0.46,0.38,0,0,0
SME_00120,manufacturing,rural,2.8,8,female,50.9,1,26137,22557.0,0.46,33.0,5122.0,0.83,0,0.0,0.0,7,29,0.15,1,0.44,0.23,0.0,0.49,0.38,0.32,0.19,0,0,0
SME_00121,manufacturing,rural,1.4,9,male,66.4,2,21931,15641.0,0.37,65.0,5308.0,0.7,1,6.9,399.0,3,21,0.43,0,0.54,0.26,0.64,0.26,0.59,0.43,0.38,0,0,0
SME_00122,agriculture,rural,4.4,8,female,28.6,1,14608,10884.0,0.1,2.0,5834.0,0.98,1,1.8,1627.0,1,23,0.49,0,0.42,0.28,0.55,0.29,0.2,0.38,0.25,0,0,0
SME_00123,retail,rural,0.6,7,male,21.4,1,10856,9301.0,0.1,1.0,2489.0,0.96,1,2.5,12990.0,6,33,0.26,0,0.36,0.19,0.63,0.16,0.16,0.32,0.27,0,0,0
SME_00124,retail,rural,1.5,12,female,41.6,1,6665,5734.0,0.55,30.0,2119.0,0.55,1,2.1,1008.0,4,21,0.47,1,0.38,0.17,0.55,0.68,0.3,0.36,0.23,0,0,0
SME_00125,agriculture,urban,1.3,8,female,46.7,2,19073,17042.0,0.45,8.0,5875.0,0.56,1,0.3,2274.0,6,27,0.35,1,0.29,0.19,0.52,0.61,0.45,0.37,0.29,0,0,0
SME_00126,manufacturing,urban,1.7,6,male,35.2,1,28493,22816.0,0.12,10.0,4597.0,0.88,1,1.8,4079.0,1,22,0.44,0,0.35,0.26,0.56,0.26,0.25,0.37,0.37,0,0,0
